#TradeId,ResultId,ResultType,ResultValue
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-07,double,4688.568028
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-10,double,4690.068452
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-11,double,4690.568323
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-12,double,4691.068059
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-13,double,4691.567660
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-14,double,4692.067125
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-17,double,4693.564708
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-18,double,4694.063632
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-20,double,4695.021796
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-21,double,4695.481028
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-24,double,4697.110837
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-25,double,4697.654903
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-26,double,4698.199367
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-27,double,4698.744229
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-28,double,4699.289490
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-01,double,4700.874705
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-02,double,4701.403685
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-03,double,4701.932952
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-05,double,4702.992351
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-08,double,4704.583607
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-09,double,4705.114602
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-10,double,4705.645885
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-11,double,4706.177456
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-12,double,4706.709315
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-15,double,4708.306625
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-16,double,4708.839639
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-17,double,4709.372941
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-18,double,4709.906533
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-19,double,4710.440413
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-22,double,4711.801775
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-23,double,4712.255184
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-24,double,4712.708405
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-25,double,4713.161437
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-26,double,4713.614280
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-29,double,4714.971674
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-30,double,4715.423761
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-07-31,double,4715.875658
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-01,double,4716.327366
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-02,double,4716.778884
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-05,double,4718.132303
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-06,double,4718.583063
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-07,double,4719.033633
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-08,double,4719.484014
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-09,double,4719.934205
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-12,double,4721.283638
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-13,double,4721.733069
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-14,double,4722.182309
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-15,double,4722.631360
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-16,double,4723.080220
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-19,double,4724.543854
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-20,double,4725.031784
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-21,double,4725.519739
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-22,double,4726.007720
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-23,double,4726.495727
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-26,double,4727.959903
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-27,double,4728.448013
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-28,double,4728.936149
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-29,double,4729.424311
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-08-30,double,4729.912498
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-03,double,4731.865505
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-04,double,4732.353822
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-05,double,4732.842164
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-06,double,4733.330531
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-09,double,4734.795789
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-10,double,4735.284260
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-11,double,4735.772756
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-12,double,4736.261279
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-13,double,4736.749826
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-16,double,4738.215625
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-17,double,4738.704276
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-18,double,4739.192952
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-19,double,4739.628279
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-20,double,4740.063621
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-23,double,4741.366878
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-24,double,4741.801317
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-09-25,double,4742.235768
