#TradeId,ResultId,ResultType,ResultValue
1:EquityOption,isdaAssetClass,string,Equity
1:EquityOption,isdaBaseProduct,string,Other
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-25,double,0.160556
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-28,double,0.159290
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-29,double,0.158943
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-30,double,0.158625
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-31,double,0.158333
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-01,double,0.158065
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-04,double,0.157371
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-05,double,0.157171
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-06,double,0.156985
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-07,double,0.156810
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-08,double,0.156646
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-11,double,0.156209
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-12,double,0.156079
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-13,double,0.155956
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-14,double,0.155840
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-15,double,0.155729
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-18,double,0.156298
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-19,double,0.156469
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-20,double,0.156633
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-21,double,0.156789
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-22,double,0.156938
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-25,double,0.157349
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-26,double,0.157474
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-27,double,0.157595
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-28,double,0.157711
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-29,double,0.157822
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-02,double,0.158132
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-03,double,0.158228
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-04,double,0.158321
