#Date,EPE,ENE
2024-05-17,265530999.5536,229179315.5608
2024-05-31,266143133.8370,229791449.8442
2024-06-14,266719940.5810,230368256.5882
2024-06-28,267220654.6997,230868970.7068
2024-07-12,268038554.7742,231686870.7814
2024-07-26,268436737.7440,232085053.7511
2024-08-09,269159286.2098,232807602.2170
2024-08-23,269646512.7135,233294828.7207
2024-09-06,270431025.0968,234079341.1040
2024-09-20,270862394.5597,234510710.5669
2024-10-04,271272859.9663,234921175.9735
2024-10-18,271785291.1721,235433607.1793
2024-11-01,240854581.4215,245985641.2443
2024-11-15,241343200.4025,246474260.2253
2024-11-29,242009687.1196,247140746.9423
2024-12-13,242455804.4313,247586864.2540
2024-12-27,242942542.6963,248073602.5190
2025-01-10,243141133.6236,248272193.4463
2025-01-24,243807006.7284,248938066.5511
2025-02-07,244342803.1570,249473862.9797
2025-02-21,244826857.1418,249957916.9646
2025-03-07,245230485.8332,250361545.6560
2025-03-21,245393162.2138,250524222.0366
2025-04-04,246012776.3047,251143836.1275
2025-04-22,246228304.3492,251359364.1719
2025-05-02,254963713.1290,218389272.4717
2025-05-16,255276671.7264,218702231.0690
2025-05-30,255771439.6830,219196999.0256
2025-06-13,256273120.6139,219698679.9565
2025-06-27,256898705.6419,220324264.9846
2025-07-11,257265756.1390,220691315.4816
2025-07-25,257550403.5996,220975962.9422
2025-08-08,257805978.5599,221231537.9026
2025-08-22,257975888.1606,221401447.5033
2025-09-05,258495182.5646,221920741.9073
2025-09-19,258864593.1683,222290152.5110
2025-10-03,259706453.3687,223132012.7114
2025-10-17,259995601.7751,223421161.1177
2025-10-31,228577503.8756,232915606.6330
2025-11-14,228837455.2541,233175558.0115
2025-11-28,229445944.9023,233784047.6596
2025-12-12,229867647.1858,234205749.9432
2025-12-29,230586297.9415,234924400.6989
2026-01-09,230872770.7976,235210873.5550
2026-01-23,231280278.3079,235618381.0652
2026-02-06,231662059.0953,236000161.8527
2026-02-20,232380842.1893,236718944.9467
2026-03-06,232594412.7373,236932515.4947
2026-03-20,233075771.6197,237413874.3771
2026-04-07,233599138.1155,237937240.8729
2026-04-17,233878974.7105,238217077.4678
2026-05-05,241876261.4956,205553421.2549
2026-05-15,242020910.6715,205698070.4308
2026-05-29,242242083.6780,205919243.4373
2026-06-12,242420018.3530,206097178.1123
2026-06-26,242806857.4483,206484017.2076
2026-07-10,243030105.8529,206707265.6122
2026-07-24,243425391.0184,207102550.7777
2026-08-07,243756345.9776,207433505.7369
2026-08-21,244025839.3719,207702999.1312
2026-09-04,244356778.6396,208033938.3989
2026-09-18,244819719.1274,208496878.8867
2026-10-02,245084118.1044,208761277.8638
2026-10-16,245603674.1676,209280833.9269
2026-10-30,213966848.9275,217769901.8500
2026-11-13,214501354.6335,218304407.5560
2026-11-27,214891924.3236,218694977.2460
2026-12-11,215173356.3039,218976409.2263
2026-12-29,215567051.6994,219370104.6219
2027-01-08,215918650.4622,219721703.3847
2027-01-22,216227633.5265,220030686.4490
2027-02-05,216601516.3747,220404569.2972
2027-02-19,216894825.5867,220697878.5092
2027-03-05,217277690.6203,221080743.5427
2027-03-19,217725593.4339,221528646.3564
2027-04-02,218106671.7663,221909724.6887
2027-04-16,218399238.5727,222202291.4951
2027-04-30,225547401.5417,189384642.5458
2027-05-14,225841675.1691,189678916.1732
2027-05-28,226365277.0248,190202518.0289
2027-06-11,226602759.4163,190440000.4204
2027-06-25,226986592.3033,190823833.3074
2027-07-09,227084324.4771,190921565.4812
2027-07-23,227422197.7262,191259438.7303
2027-08-06,227597071.3033,191434312.3074
2027-08-20,227961058.6804,191798299.6845
2027-09-03,228279339.8664,192116580.8705
2027-09-17,228676421.6317,192513662.6358
2027-10-01,229037350.0819,192874591.0860
2027-10-15,229338715.8750,193175956.8792
2027-10-29,197534747.8192,200723432.9002
2027-11-12,197970052.8603,201158737.9413
2027-11-26,198315858.7634,201504543.8444
2027-12-10,198634401.0740,201823086.1549
2027-12-29,198987323.9304,202176009.0114
2028-01-07,199145425.1055,202334110.1865
2028-01-21,199479975.2464,202668660.3274
2028-02-04,199697173.6746,202885858.7556
2028-02-18,200012339.2094,203201024.2904
2028-03-03,200245693.6721,203434378.7531
2028-03-17,200431653.6918,203620338.7728
2028-03-31,200826126.0879,204014811.1689
2028-04-18,201302248.0583,204490933.1393
2028-04-28,207609681.3617,171318853.5140
2028-05-12,207953036.8967,171662209.0489
2028-05-26,208137625.2841,171846797.4363
2028-06-09,208377284.7788,172086456.9310
2028-06-23,208717902.2603,172427074.4125
2028-07-07,209017658.4826,172726830.6348
2028-07-21,209458530.0152,173167702.1674
2028-08-04,209764496.3598,173473668.5120
2028-08-18,209984928.8712,173694101.0234
2028-09-01,210391418.2262,174100590.3784
2028-09-15,210615378.1798,174324550.3320
2028-09-29,210975049.2022,174684221.3544
2028-10-13,211156675.4514,174865847.6036
2028-10-27,211311701.5244,175020873.6766
2028-11-13,179366428.3644,181566190.4176
2028-11-24,179575687.2408,181775449.2939
2028-12-08,179762255.5208,181962017.5739
2028-12-22,179992565.8568,182192327.9100
2029-01-05,180142833.8105,182342595.8636
2029-01-19,180308836.8550,182508598.9081
2029-02-02,180617533.7168,182817295.7699
2029-02-16,180907180.5711,183106942.6242
2029-03-02,181177535.6229,183377297.6760
2029-03-16,181402709.1310,183602471.1842
2029-04-03,181802303.6849,184002065.7381
2029-04-13,181962234.6452,184161996.6983
2029-04-27,182221590.0080,184421352.0612
2029-05-11,188038719.4819,151702932.5695
2029-05-25,188248547.3678,151912760.4554
2029-06-08,188290458.9579,151954672.0455
2029-06-22,188323811.9139,151988025.0015
2029-07-06,188482886.2859,152147099.3735
2029-07-20,188626269.2879,152290482.3754
2029-08-03,188887053.5059,152551266.5935
2029-08-17,189125229.0965,152789442.1841
2029-08-31,189372449.4080,153036662.4956
2029-09-14,189419549.3071,153083762.3947
2029-09-28,189622473.0069,153286686.0945
2029-10-12,189742007.6104,153406220.6979
2029-10-26,189847279.5152,153511492.6028
2029-11-09,157941493.8730,159205231.0914
2029-11-23,158134757.4461,159398494.6645
2029-12-07,158186450.5264,159450187.7448
2029-12-21,158294829.0709,159558566.2893
2030-01-04,158606593.9454,159870331.1638
2030-01-18,158851757.0552,160115494.2736
